"DEATHS_DIRECT","BEGIN_LAT","BEGIN_LON","BEGIN_DATE_TIME","END_DATE_TIME","TOR_F_SCALE"
1,35.3969,-92.1422,"3/10/2010 21:09","3/10/2010 21:14","EF2"
4,32.7003,-90.6783,"4/24/2010 10:53","4/24/2010 11:33","EF4"
1,32.9456,-90.1539,"4/24/2010 11:33","4/24/2010 11:57","EF4"
5,33.2857,-89.3651,"4/24/2010 12:28","4/24/2010 12:50","EF3"
1,35.4603,-92.7155,"4/30/2010 18:03","4/30/2010 18:30","EF3"
2,34.8008,-89.1893,"5/2/2010 1:48","5/2/2010 2:00","EF3"
1,34.9949,-88.8815,"5/2/2010 2:10","5/2/2010 2:17","EF3"
1,34.4891,-89.5129,"5/2/2010 2:27","5/2/2010 2:29","EF2"
1,35.1808,-97.4273,"5/10/2010 16:32","5/10/2010 16:51","EF4"
2,35.377,-97.305,"5/10/2010 16:35","5/10/2010 16:51","EF4"
1,41.0876,-88.5213,"6/5/2010 20:12","6/5/2010 20:25","EF2"
7,41.5512,-83.538,"6/5/2010 22:20","6/5/2010 22:30","EF4"
1,46.11,-95.425,"6/17/2010 14:45","6/17/2010 15:45","EF4"
1,47.64,-96.18,"6/17/2010 17:15","6/17/2010 17:27","EF3"
1,43.5755,-93.6404,"6/17/2010 17:33","6/17/2010 18:15","EF4"
1,42.9943,-82.6119,"6/27/2010 18:06","6/27/2010 18:10","EF1"
2,48.6597,-105.0018,"7/26/2010 18:00","7/26/2010 18:37","EF3"
1,48.8074,-102.1314,"8/12/2010 20:40","8/12/2010 20:55","EF3"
1,40.74,-73.84,"9/16/2010 16:42","9/16/2010 16:46","EF1"
1,39.1405,-81.7397,"9/16/2010 19:05","9/16/2010 19:13","EF3"
4,36.0176,-94.5374,"12/31/2010 6:08","12/31/2010 6:17","EF3"
2,37.9394,-91.8018,"12/31/2010 10:06","12/31/2010 10:26","EF3"
2,37.7748,-91.7129,"12/31/2010 10:12","12/31/2010 10:16","EF1"
1,38.5024,-90.4622,"12/31/2010 11:49","12/31/2010 12:00","EF3"
1,35.2794,-86.2762,"2/28/2011 12:23","2/28/2011 12:25","EF0"
1,30.219,-92.3142,"3/5/2011 9:51","3/5/2011 10:03","EF2"
1,32.2846,-83.3234,"4/5/2011 1:39","4/5/2011 1:42","EF2"
2,34.2923,-96.2509,"4/14/2011 18:20","4/14/2011 18:50","EF3"
2,34.7501,-92.3773,"4/15/2011 0:57","4/15/2011 1:01","EF1"
1,32.1899,-88.0057,"4/15/2011 16:04","4/15/2011 16:28","EF3"
1,31.1311,-88.6325,"4/15/2011 18:45","4/15/2011 19:05","EF3"
3,31.1943,-88.4368,"4/15/2011 19:05","4/15/2011 19:15","EF3"
3,32.5803,-86.5818,"4/15/2011 21:47","4/15/2011 22:01","EF3"
2,35.3632,-79.27,"4/16/2011 13:56","4/16/2011 14:20","EF3"
4,35.5924,-78.9242,"4/16/2011 14:27","4/16/2011 15:15","EF3"
1,35.0377,-79.079,"4/16/2011 14:37","4/16/2011 15:10","EF3"
1,35.2543,-78.672,"4/16/2011 15:12","4/16/2011 15:24","EF2"
3,34.8417,-78.6563,"4/16/2011 15:25","4/16/2011 15:27","EF2"
1,34.5398,-78.7875,"4/16/2011 15:58","4/16/2011 16:18","EF2"
12,36.087,-76.9502,"4/16/2011 17:55","4/16/2011 18:06","EF3"
2,37.2946,-76.5715,"4/16/2011 18:00","4/16/2011 18:18","EF3"
1,34.5903,-93.039,"4/25/2011 17:07","4/25/2011 17:16","EF3"
4,34.9309,-92.393,"4/25/2011 18:08","4/25/2011 18:38","EF2"
1,33.519,-89.2244,"4/27/2011 1:39","4/27/2011 1:49","EF2"
1,33.9176,-87.0472,"4/27/2011 4:48","4/27/2011 5:20","EF2"
1,34.5735,-85.9678,"4/27/2011 5:58","4/27/2011 6:34","EF1"
1,34.0757,-87.0097,"4/27/2011 13:40","4/27/2011 14:12","EF4"
3,32.9017,-88.9145,"4/27/2011 13:43","4/27/2011 13:46","EF5"
3,33.7489,-89.2018,"4/27/2011 13:56","4/27/2011 14:26","EF3"
18,34.1043,-88.1479,"4/27/2011 14:05","4/27/2011 14:28","EF5"
1,35.121,-85.021,"4/27/2011 14:07","4/27/2011 14:18","EF1"
5,34.3528,-86.5813,"4/27/2011 14:16","4/27/2011 14:38","EF4"
1,33.938,-88.7201,"4/27/2011 14:26","4/27/2011 14:38","EF3"
27,34.3109,-87.7858,"4/27/2011 14:28","4/27/2011 14:45","EF5"
16,34.0455,-88.445,"4/27/2011 14:42","4/27/2011 14:48","EF5"
14,34.4368,-87.5307,"4/27/2011 14:45","4/27/2011 15:15","EF5"
7,34.1677,-88.1932,"4/27/2011 15:00","4/27/2011 15:20","EF3"
6,34.6208,-85.9814,"4/27/2011 15:01","4/27/2011 15:30","EF4"
4,34.662,-87.0705,"4/27/2011 15:17","4/27/2011 15:36","EF4"
4,33.605,-87.5102,"4/27/2011 15:29","4/27/2011 15:35","EF3"
6,34.82,-85.6314,"4/27/2011 15:30","4/27/2011 15:36","EF4"
9,33.6448,-87.4238,"4/27/2011 15:35","4/27/2011 16:05","EF4"
9,34.8017,-86.7855,"4/27/2011 15:36","4/27/2011 16:08","EF4"
44,33.0606,-87.8315,"4/27/2011 15:48","4/27/2011 16:35","EF4"
1,34.7948,-85.909,"4/27/2011 16:05","4/27/2011 16:25","EF4"
2,34.8431,-85.5799,"4/27/2011 16:35","4/27/2011 16:45","EF3"
20,33.3512,-87.1975,"4/27/2011 16:35","4/27/2011 17:14","EF4"
1,32.0296,-89.5042,"4/27/2011 16:42","4/27/2011 16:55","EF3"
6,32.7434,-87.8043,"4/27/2011 16:43","4/27/2011 17:20","EF3"
2,32.0712,-89.3201,"4/27/2011 16:55","4/27/2011 17:26","EF4"
25,34.3907,-85.9784,"4/27/2011 17:19","4/27/2011 17:56","EF5"
1,32.9132,-87.4205,"4/27/2011 17:20","4/27/2011 17:55","EF3"
4,32.1439,-88.9154,"4/27/2011 17:26","4/27/2011 18:10","EF4"
4,35.08,-84.95,"4/27/2011 17:28","4/27/2011 17:49","EF2"
13,33.6839,-86.5234,"4/27/2011 17:32","4/27/2011 18:04","EF4"
8,33.8291,-86.0526,"4/27/2011 18:04","4/27/2011 18:22","EF4"
1,33.9558,-85.7399,"4/27/2011 18:24","4/27/2011 18:25","EF1"
6,32.6174,-86.193,"4/27/2011 19:12","4/27/2011 19:36","EF3"
4,35.3969,-85.3253,"4/27/2011 19:13","4/27/2011 19:26","EF4"
8,34.8744,-85.1785,"4/27/2011 19:15","4/27/2011 19:28","EF4"
8,34.9868,-85.0485,"4/27/2011 19:27","4/27/2011 19:34","EF4"
4,35.0371,-84.9875,"4/27/2011 19:34","4/27/2011 19:56","EF4"
1,32.7545,-85.8826,"4/27/2011 19:36","4/27/2011 20:01","EF4"
1,36.7825,-79.0945,"4/27/2011 19:38","4/27/2011 20:08","EF2"
6,36.035,-82.808,"4/27/2011 21:51","4/27/2011 22:04","EF3"
1,34.825,-83.5961,"4/27/2011 22:00","4/27/2011 22:16","EF3"
2,36.39,-81.99,"4/27/2011 22:45","4/27/2011 22:56","EF2"
2,33.2058,-84.4794,"4/27/2011 23:08","4/27/2011 23:26","EF3"
1,36.106,-82.702,"4/27/2011 23:40","4/27/2011 23:45","EF3"
2,33.0236,-84.2693,"4/27/2011 23:43","4/28/2011 0:00","EF3"
1,36.1302,-82.6302,"4/27/2011 23:45","4/27/2011 23:56","EF2"
3,36.65,-81.95,"4/28/2011 0:01","4/28/2011 0:17","EF3"
1,38.5053,-96.0036,"5/21/2011 20:10","5/21/2011 20:20","EF3"
1,44.9597,-93.3472,"5/22/2011 13:13","5/22/2011 13:21","EF1"
158,37.056,-94.5701,"5/22/2011 16:40","5/22/2011 17:00","EF5"
1,36.165,-98.578,"5/24/2011 14:34","5/24/2011 14:44","EF3"
7,35.444,-98.287,"5/24/2011 14:50","5/24/2011 15:55","EF5"
2,38.153,-98.705,"5/24/2011 15:52","5/24/2011 16:06","EF2"
2,35.747,-97.674,"5/24/2011 15:59","5/24/2011 16:35","EF3"
1,35.008,-97.961,"5/24/2011 16:06","5/24/2011 16:38","EF4"
1,35.3182,-93.9044,"5/24/2011 22:57","5/24/2011 23:06","EF4"
2,35.4065,-93.7968,"5/24/2011 23:07","5/24/2011 23:15","EF3"
1,35.456,-93.7074,"5/24/2011 23:15","5/24/2011 23:50","EF2"
1,35.4227,-93.5302,"5/24/2011 23:25","5/24/2011 23:52","EF3"
3,42.1,-72.75,"6/1/2011 15:17","6/1/2011 16:09","EF3"
1,36.1616,-95.1082,"8/10/2011 2:35","8/10/2011 2:39","EF2"
1,45.4026,-87.987,"8/19/2011 15:45","8/19/2011 15:56","EF1"
3,34.82,-81.18,"11/16/2011 17:32","11/16/2011 17:41","EF2"
2,35.7321,-80.2103,"11/16/2011 18:05","11/16/2011 18:23","EF2"
1,33.4354,-87.284,"1/23/2012 3:12","1/23/2012 3:27","EF2"
1,33.6228,-86.7411,"1/23/2012 3:58","1/23/2012 4:16","EF3"
1,38.7815,-95.9822,"2/28/2012 21:02","2/28/2012 21:04","EF2"
1,37.5536,-93.1831,"2/28/2012 23:59","2/29/2012 0:12","EF2"
1,36.6994,-93.9178,"2/29/2012 0:42","2/29/2012 0:45","EF2"
1,36.9,-90.1891,"2/29/2012 4:00","2/29/2012 4:20","EF3"
8,37.6945,-88.65,"2/29/2012 4:51","2/29/2012 5:04","EF4"
1,35.9724,-85.8529,"2/29/2012 15:46","2/29/2012 15:58","EF1"
2,36.0887,-85.1102,"2/29/2012 16:30","2/29/2012 16:43","EF2"
5,38.4316,-86.1893,"3/2/2012 14:50","3/2/2012 15:08","EF4"
1,38.5156,-85.8678,"3/2/2012 15:09","3/2/2012 15:25","EF4"
1,38.6061,-85.5808,"3/2/2012 15:25","3/2/2012 15:26","EF4"
4,38.6096,-85.57,"3/2/2012 15:26","3/2/2012 15:34","EF4"
3,39.0667,-85.407,"3/2/2012 15:52","3/2/2012 16:02","EF3"
4,38.796,-84.6092,"3/2/2012 16:24","3/2/2012 16:32","EF4"
3,38.859,-84.2328,"3/2/2012 16:46","3/2/2012 16:58","EF3"
1,38.811,-83.5182,"3/2/2012 17:33","3/2/2012 17:43","EF2"
2,37.905,-83.6146,"3/2/2012 17:39","3/2/2012 17:45","EF3"
6,37.9109,-83.4784,"3/2/2012 17:46","3/2/2012 18:10","EF3"
2,37.9921,-82.9198,"3/2/2012 18:18","3/2/2012 18:38","EF3"
6,37.1954,-84.2114,"3/2/2012 19:04","3/2/2012 19:12","EF2"
2,37.7611,-82.9362,"3/2/2012 19:08","3/2/2012 19:25","EF3"
1,32.8666,-85.9669,"3/2/2012 22:40","3/2/2012 23:06","EF2"
1,38.273,-88.814,"3/23/2012 12:26","3/23/2012 12:30","EF2"
6,36.276,-99.604,"4/14/2012 23:05","4/14/2012 23:27","EF3"
3,36.9736,-89.43,"6/4/2012 19:44","6/4/2012 19:45","EF2"
1,27.04,-81.36,"6/24/2012 11:23","6/24/2012 11:29","EF0"
1,34.3411,-84.9527,"1/30/2013 11:12","1/30/2013 11:21","EF3"
1,31.3157,-93.9751,"2/21/2013 13:10","2/21/2013 13:19","EF1"
1,32.6393,-88.8665,"4/11/2013 10:35","4/11/2013 11:04","EF3"
6,32.412,-97.754,"5/15/2013 18:58","5/15/2013 19:11","EF4"
2,35.308,-97.142,"5/19/2013 17:20","5/19/2013 17:50","EF4"
24,35.303,-97.605,"5/20/2013 14:04","5/20/2013 14:35","EF5"
1,34.4355,-92.5823,"5/30/2013 20:36","5/30/2013 20:37","EF1"
8,35.485,-98.096,"5/31/2013 17:03","5/31/2013 17:44","EF3"
1,41.4456,-91.0841,"6/24/2013 14:08","6/24/2013 14:14","EF1"
3,40.622,-89.5678,"11/17/2013 10:59","11/17/2013 11:12","EF4"
2,38.42,-89.45,"11/17/2013 12:04","11/17/2013 12:13","EF4"
3,37.1246,-88.6368,"11/17/2013 14:20","11/17/2013 14:26","EF3"
1,34.907,-90.559,"12/21/2013 15:13","12/21/2013 15:29","EF2"
1,34.149,-90.767,"12/21/2013 17:19","12/21/2013 17:28","EF2"
1,36.05,-76.55,"4/25/2014 18:37","4/25/2014 18:41","EF2"
2,41.1623,-92.2795,"4/27/2014 14:23","4/27/2014 14:52","EF1"
1,36.912,-94.8215,"4/27/2014 16:29","4/27/2014 16:35","EF2"
3,34.7787,-92.652,"4/27/2014 18:06","4/27/2014 18:25","EF3"
12,34.913,-92.4572,"4/27/2014 18:25","4/27/2014 18:59","EF4"
1,35.1271,-92.1179,"4/27/2014 18:59","4/27/2014 19:02","EF2"
10,32.932,-89.3067,"4/28/2014 15:05","4/28/2014 15:47","EF4"
2,34.7753,-87.2324,"4/28/2014 15:47","4/28/2014 16:14","EF3"
1,32.2319,-90.206,"4/28/2014 17:27","4/28/2014 18:14","EF3"
2,35.0066,-86.5497,"4/28/2014 19:09","4/28/2014 19:27","EF3"
1,41.9528,-97.1369,"6/16/2014 15:00","6/16/2014 15:21","EF4"
1,41.9797,-97.0198,"6/16/2014 15:17","6/16/2014 15:30","EF4"
4,42.99,-75.64,"7/8/2014 18:02","7/8/2014 18:05","EF2"
1,33.6617,-94.2303,"10/13/2014 4:37","10/13/2014 4:42","EF2"
3,31.2273,-89.8331,"12/23/2014 14:20","12/23/2014 14:36","EF3"
2,31.6986,-89.2239,"12/23/2014 15:22","12/23/2014 15:27","EF2"
1,36.1615,-96.2181,"3/25/2015 16:30","3/25/2015 16:38","EF2"
2,42.0947,-88.9392,"4/9/2015 18:12","4/9/2015 18:19","EF3"
1,32.3032,-99.0133,"5/9/2015 15:32","5/9/2015 15:52","EF3"
2,32.4095,-95.619,"5/10/2015 19:46","5/10/2015 20:09","EF3"
2,33.9311,-93.8659,"5/10/2015 22:18","5/10/2015 22:34","EF2"
1,33.983,-96.2684,"5/25/2015 13:42","5/25/2015 14:10","EF2"
1,30.8154,-97.1175,"5/25/2015 14:55","5/25/2015 15:05","EF2"
2,34.0499,-90.6598,"12/23/2015 15:01","12/23/2015 15:17","EF3"
2,34.6131,-89.6691,"12/23/2015 16:12","12/23/2015 16:37","EF4"
6,34.8117,-89.2983,"12/23/2015 16:37","12/23/2015 16:56","EF4"
1,34.9428,-89.0174,"12/23/2015 16:56","12/23/2015 17:03","EF4"
2,35.5499,-87.8145,"12/23/2015 18:17","12/23/2015 18:27","EF2"
10,32.796,-96.5894,"12/26/2015 18:46","12/26/2015 18:59","EF4"
2,33.0607,-96.434,"12/26/2015 19:09","12/26/2015 19:15","EF2"
1,33.2718,-96.3546,"12/26/2015 19:33","12/26/2015 19:38","EF1"
2,27.538,-82.219,"1/17/2016 3:35","1/17/2016 3:48","EF2"
2,30.0408,-90.9632,"2/23/2016 15:31","2/23/2016 15:42","EF2"
1,31.1157,-89.5159,"2/23/2016 16:15","2/23/2016 16:23","EF2"
3,36.9922,-77.1234,"2/24/2016 14:31","2/24/2016 14:38","EF1"
1,37.2318,-78.8576,"2/24/2016 15:28","2/24/2016 15:44","EF3"
1,30.0982,-95.5511,"4/27/2016 3:43","4/27/2016 3:47","EF0"
1,34.559,-97.357,"5/9/2016 15:06","5/9/2016 15:27","EF4"
1,34.391,-96.638,"5/9/2016 16:18","5/9/2016 16:33","EF3"
3,34.69,-85.78,"11/30/2016 0:02","11/30/2016 0:09","EF2"
1,34.7298,-85.704,"11/30/2016 0:09","11/30/2016 0:20","EF3"
2,35.1109,-84.7264,"11/30/2016 2:28","11/30/2016 2:33","EF3"
4,31.2738,-89.3478,"1/21/2017 3:47","1/21/2017 4:05","EF3"
2,30.9998,-83.5841,"1/22/2017 3:29","1/22/2017 3:35","EF3"
7,31.0351,-83.4852,"1/22/2017 3:35","1/22/2017 3:49","EF3"
2,31.1092,-83.3226,"1/22/2017 3:49","1/22/2017 3:58","EF3"
5,31.4373,-84.3447,"1/22/2017 15:15","1/22/2017 15:37","EF3"
1,30.1024,-90.9231,"2/7/2017 11:14","2/7/2017 11:16","EF1"
2,41.3239,-88.9504,"2/28/2017 16:41","2/28/2017 16:59","EF3"
1,37.7238,-90.0055,"2/28/2017 19:51","2/28/2017 20:12","EF4"
1,38.137,-88.1148,"2/28/2017 21:55","2/28/2017 22:08","EF3"
2,30.2676,-91.8532,"4/2/2017 8:47","4/2/2017 8:49","EF1"
1,34.582,-81.606,"4/3/2017 14:21","4/3/2017 14:23","EF1"
2,32.357,-95.9549,"4/29/2017 16:40","4/29/2017 17:09","EF4"
2,32.3991,-95.8756,"4/29/2017 17:08","4/29/2017 17:50","EF3"
1,32.9005,-90.0257,"4/30/2017 8:23","4/30/2017 8:41","EF2"
1,45.2551,-92.1562,"5/16/2017 15:44","5/16/2017 16:38","EF2"
1,35.2402,-99.555,"5/16/2017 17:46","5/16/2017 18:12","EF2"
1,36.6441,-87.0049,"2/24/2018 15:54","2/24/2018 16:12","EF2"
1,36.3001,-90.6333,"2/24/2018 17:21","2/24/2018 17:52","EF2"
1,32.5116,-93.7375,"4/13/2018 23:22","4/13/2018 23:41","EF1"
1,41.5359,-74.0123,"5/15/2018 15:16","5/15/2018 15:17","EF0"
1,47.7814,-103.295,"7/9/2018 22:45","7/9/2018 22:48","EF2"
1,37.4065,-77.6107,"9/17/2018 14:38","9/17/2018 14:56","EF2"
2,39.27,-76.5552,"11/2/2018 20:42","11/2/2018 20:44","EF1"
1,35.6712,-86.5074,"11/6/2018 0:19","11/6/2018 0:31","EF2"
1,36.9432,-93.7216,"12/1/2018 0:30","12/1/2018 0:33","EF1"
1,33.4865,-88.4346,"2/23/2019 17:14","2/23/2019 17:32","EF3"
23,32.4571,-85.4362,"3/3/2019 14:03","3/3/2019 14:29","EF4"
1,31.428,-95.2718,"4/13/2019 12:00","4/13/2019 12:20","EF3"
1,31.5792,-95.1658,"4/13/2019 12:20","4/13/2019 12:47","EF3"
1,33.7248,-88.4409,"4/13/2019 22:06","4/13/2019 22:23","EF2"
2,32.5112,-92.6729,"4/25/2019 0:47","4/25/2019 1:00","EF3"
2,33.9711,-96.2071,"4/30/2019 20:07","4/30/2019 20:26","EF3"
1,41.4557,-94.6249,"5/22/2019 0:29","5/22/2019 0:35","EF2"
3,37.3517,-94.1858,"5/22/2019 19:58","5/22/2019 20:13","EF3"
2,35.5,-97.955,"5/25/2019 21:28","5/25/2019 21:32","EF3"
1,40.5515,-84.6911,"5/27/2019 21:02","5/27/2019 21:17","EF3"
1,32.2351,-91.7783,"11/26/2019 18:03","11/26/2019 18:15","EF2"
1,30.8832,-93.2135,"12/16/2019 11:18","12/16/2019 12:08","EF3"
2,34.6445,-87.4126,"12/16/2019 17:08","12/16/2019 17:30","EF2"
1,31.5832,-94.7558,"1/10/2020 23:33","1/10/2020 23:36","EF1"
3,32.4571,-93.5875,"1/11/2020 1:24","1/11/2020 1:32","EF2"
3,33.2379,-88.1545,"1/11/2020 11:11","1/11/2020 11:20","EF2"
1,32.4617,-87.8012,"2/6/2020 2:13","2/6/2020 2:15","EF1"
1,36.0928,-88.1189,"3/2/2020 23:05","3/2/2020 23:20","EF2"
2,36.1717,-86.9562,"3/3/2020 0:32","3/3/2020 0:54","EF3"
3,36.1767,-86.5717,"3/3/2020 0:54","3/3/2020 1:19","EF3"
19,36.1715,-85.6628,"3/3/2020 1:48","3/3/2020 1:56","EF4"
2,31.2763,-90.1732,"4/12/2020 14:39","4/12/2020 14:47","EF4"
2,31.3331,-90.0823,"4/12/2020 14:47","4/12/2020 14:51","EF3"
4,31.4641,-89.7579,"4/12/2020 15:12","4/12/2020 15:24","EF4"
3,31.6661,-89.4004,"4/12/2020 15:41","4/12/2020 15:59","EF4"
8,34.8098,-84.8377,"4/12/2020 20:45","4/12/2020 20:55","EF2"
2,34.986,-85.1907,"4/12/2020 22:19","4/12/2020 22:31","EF3"
1,34.1492,-84.8285,"4/13/2020 0:06","4/13/2020 0:21","EF1"
1,34.617,-83.084,"4/13/2020 2:21","4/13/2020 2:33","EF3"
2,33.4539,-81.2651,"4/13/2020 4:51","4/13/2020 5:16","EF3"
5,32.7045,-81.2899,"4/13/2020 5:10","4/13/2020 5:37","EF4"
1,31.075,-89.9209,"4/19/2020 18:13","4/19/2020 18:34","EF4"
1,31.3994,-85.279,"4/19/2020 22:40","4/19/2020 22:47","EF2"
2,34.0705,-96.813,"4/22/2020 15:53","4/22/2020 16:05","EF2"
3,30.8409,-95.1824,"4/22/2020 16:35","4/22/2020 17:15","EF3"
1,31.1623,-92.4582,"4/22/2020 20:26","4/22/2020 20:38","EF2"
1,30.4597,-92.2678,"5/17/2020 19:31","5/17/2020 19:41","EF3"
1,46.11,-95.9,"7/8/2020 16:15","7/8/2020 16:39","EF4"
2,35.887,-76.89,"8/4/2020 0:15","8/4/2020 0:26","EF3"
1,44.709,-98.9875,"8/30/2020 17:03","8/30/2020 17:13","EF2"
1,33.5965,-86.8256,"1/25/2021 22:40","1/25/2021 22:55","EF3"
3,33.9118,-78.5096,"2/15/2021 23:34","2/16/2021 0:02","EF3"
6,33.7026,-86.1053,"3/25/2021 13:31","3/25/2021 14:18","EF3"
1,32.0982,-94.3089,"3/27/2021 18:38","3/27/2021 19:05","EF2"
1,30.666,-91.9586,"4/10/2021 1:06","4/10/2021 1:18","EF3"
1,40.107,-75.238,"9/1/2021 16:35","9/1/2021 16:49","EF2"
1,30.4003,-88.5177,"10/27/2021 20:31","10/27/2021 20:35","EF1"
1,35.7867,-90.5511,"12/10/2021 19:07","12/10/2021 19:27","EF3"
1,35.927,-90.287,"12/10/2021 19:27","12/10/2021 19:38","EF3"
1,38.5821,-90.9455,"12/10/2021 19:32","12/10/2021 19:51","EF3"
2,36.084,-89.96,"12/10/2021 19:50","12/10/2021 20:10","EF4"
3,36.284,-89.57,"12/10/2021 20:18","12/10/2021 20:30","EF4"
6,38.757,-90.058,"12/10/2021 20:27","12/10/2021 20:35","EF3"
1,36.363,-89.394,"12/10/2021 20:30","12/10/2021 20:36","EF2"
1,36.503,-89.106,"12/10/2021 20:56","12/10/2021 21:06","EF4"
24,36.666,-88.816,"12/10/2021 21:16","12/10/2021 21:40","EF4"
1,36.817,-88.485,"12/10/2021 21:40","12/10/2021 21:58","EF4"
1,36.947,-88.201,"12/10/2021 21:58","12/10/2021 22:14","EF3"
4,37.056,-87.964,"12/10/2021 22:14","12/10/2021 22:32","EF4"
15,37.166,-87.705,"12/10/2021 22:32","12/10/2021 22:55","EF4"
11,37.31,-87.378,"12/10/2021 22:55","12/10/2021 23:10","EF4"
16,36.916,-86.618,"12/11/2021 1:09","12/11/2021 1:35","EF3"
1,37.408,-85.427,"12/11/2021 3:20","12/11/2021 3:27","EF3"
1,32.71,-87.828,"2/3/2022 13:52","2/3/2022 14:16","EF2"
6,41.2334,-94.2013,"3/5/2022 16:26","3/5/2022 16:59","EF4"
1,40.9405,-93.3854,"3/5/2022 17:33","3/5/2022 17:53","EF3"
1,33.8407,-96.8192,"3/21/2022 17:11","3/21/2022 17:15","EF2"
1,31.1346,-95.675,"3/21/2022 21:10","3/21/2022 21:30","EF2"
1,29.9473,-90.0063,"3/22/2022 18:27","3/22/2022 18:32","EF3"
2,30.6376,-85.5108,"3/31/2022 3:09","3/31/2022 3:16","EF3"
1,32.1202,-81.6561,"4/5/2022 16:18","4/5/2022 16:33","EF4"
2,44.9883,-84.8497,"5/20/2022 14:38","5/20/2022 14:57","EF3"
1,34.3908,-94.9909,"11/4/2022 16:46","11/4/2022 16:49","EF2"
1,33.0218,-94.8157,"11/4/2022 17:44","11/4/2022 18:03","EF3"
2,32.44,-86.323,"11/30/2022 3:15","11/30/2022 3:22","EF0"
2,32.221,-94.0102,"12/13/2022 16:36","12/13/2022 16:41","EF2"
1,29.9916,-90.4992,"12/14/2022 14:21","12/14/2022 14:26","EF2"
7,32.5212,-86.7312,"1/12/2023 12:40","1/12/2023 13:05","EF3"
1,33.2252,-84.2021,"1/12/2023 16:27","1/12/2023 16:35","EF2"
1,33.289,-84.093,"1/12/2023 16:35","1/12/2023 16:51","EF2"
1,33.392,-83.888,"1/12/2023 16:51","1/12/2023 16:53","EF2"
1,33.408,-83.844,"1/12/2023 16:53","1/12/2023 17:01","EF2"
1,35.609,-99.7,"2/26/2023 19:13","2/26/2023 19:18","EF2"
14,32.875,-90.9365,"3/24/2023 19:03","3/24/2023 19:25","EF4"
3,33.015,-90.6571,"3/24/2023 19:25","3/24/2023 19:51","EF3"
3,33.31,-90.04,"3/24/2023 20:12","3/24/2023 20:30","EF3"
2,33.869,-88.72,"3/24/2023 21:40","3/24/2023 22:04","EF3"
1,34.41,-87.11,"3/24/2023 23:24","3/24/2023 23:29","EF2"
4,35.1818,-90.9611,"3/31/2023 15:30","3/31/2023 16:05","EF3"
1,35.4621,-89.8323,"3/31/2023 16:48","3/31/2023 17:09","EF3"
1,42.1924,-88.94,"3/31/2023 18:37","3/31/2023 18:50","EF1"
3,38.9297,-87.9451,"3/31/2023 20:03","3/31/2023 20:21","EF3"
3,39.0313,-87.5708,"3/31/2023 21:21","3/31/2023 21:33","EF3"
2,39.2978,-86.7282,"3/31/2023 22:01","3/31/2023 22:03","EF3"
9,35.167,-88.785,"3/31/2023 22:06","3/31/2023 22:31","EF3"
1,34.208,-89.121,"4/1/2023 0:00","4/1/2023 0:21","EF2"
1,34.9746,-86.5738,"4/1/2023 2:09","4/1/2023 2:16","EF3"
1,38.757,-75.6398,"4/1/2023 16:59","4/1/2023 17:19","EF3"
5,37.25,-90.14,"4/5/2023 2:30","4/5/2023 2:56","EF2"
1,35.082,-97.634,"4/19/2023 18:30","4/19/2023 19:05","EF3"
1,26.0799,-97.2627,"5/13/2023 3:06","5/13/2023 3:08","EF1"
3,36.4135,-100.8302,"6/15/2023 16:06","6/15/2023 16:17","EF3"
4,34.12,-100.85,"6/21/2023 18:51","6/21/2023 19:09","EF3"
1,38.585,-86.8666,"6/25/2023 15:34","6/25/2023 15:45","EF2"
2,42.6535,-84.3131,"8/24/2023 20:29","8/24/2023 20:40","EF2"
